station,latitude,longitude,repi_km,rhyp_km,dt_s,npts,PGA_EW_g,PGA_NS_g,PGA_VER_g,PGA_H_geo_g,Sa_peak_H_geo_g,T_Sa_peak_s,quality_flag
ARMEC,4.556,-75.66,85.0,134.0,0.005,102001,0.195648,0.228195,0.08196,0.211296,1.007487,0.52,OK
CBOCA,4.7817,-75.6455,75.0,128.0,0.005,102001,0.03538,0.036756,0.018475,0.036062,0.140926,0.35,ATYPICAL_DO_NOT_USE
CCALA,4.50898,-75.62762,91.0,137.0,0.005,102001,0.053002,0.066752,0.032936,0.059481,0.313219,0.15,OK
CIRS,4.6428,-75.6059,85.0,134.0,0.005,102001,0.281369,0.395384,0.091236,0.33354,2.08824,0.55,OK
CTRUJ,4.219,-76.322,86.0,134.0,0.01,51001,0.095608,0.13344,0.082799,0.112951,0.463707,0.46,OK
FLND,4.68555,-75.6186,82.0,132.0,0.005,102001,0.426276,0.264991,0.105952,0.336094,1.262252,0.56,OK
MAN1C,5.071472,-75.524397,85.0,134.0,0.005,102001,0.205718,0.165185,0.07225,0.184341,1.150314,0.65,OK
SLNT,4.636944,-75.570278,89.0,136.0,0.005,102001,0.157276,0.145685,0.082426,0.151369,0.69855,0.95,OK
