T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.2100,2.64782567e-01,2.91132844e-01,2.91132844e-01,2.07552052e-01,2.28206939e-01,2.28206939e-01,2.45624130e-01,2.70067823e-01,2.70067823e-01,2.34427313e-01,2.65670505e-01,2.08248070e-01,2.35213456e-01
0.2200,2.84016528e-01,3.42784801e-01,3.42784801e-01,2.23714357e-01,2.70004995e-01,2.70004995e-01,1.97276686e-01,2.38096881e-01,2.38096881e-01,2.52068591e-01,2.85014480e-01,2.24500424e-01,2.52954288e-01
0.2300,2.88790061e-01,3.81013062e-01,3.81013062e-01,2.18639724e-01,2.88460726e-01,2.88460726e-01,1.86419172e-01,2.45950775e-01,2.45950775e-01,2.51278688e-01,2.89851079e-01,2.19443009e-01,2.52201889e-01
0.2400,2.74759518e-01,3.94772197e-01,3.94772197e-01,2.11481048e-01,3.03854216e-01,3.03854216e-01,2.15012525e-01,3.08928213e-01,3.08928213e-01,2.41052755e-01,2.75813046e-01,2.12291943e-01,2.41977039e-01
0.2500,2.37670419e-01,3.70591855e-01,3.70591855e-01,2.42570882e-01,3.78232989e-01,3.78232989e-01,2.20384873e-01,3.43639057e-01,3.43639057e-01,2.40108149e-01,2.38619858e-01,2.43539896e-01,2.41067325e-01
0.2600,2.62797723e-01,4.43280284e-01,4.43280284e-01,2.54377605e-01,4.29077452e-01,4.29077452e-01,2.07272873e-01,3.49622428e-01,3.49622428e-01,2.58553390e-01,2.63889706e-01,2.55434601e-01,2.59627737e-01
0.2700,2.67312189e-01,4.86324137e-01,4.86324137e-01,2.39307671e-01,4.35375197e-01,4.35375197e-01,2.17944815e-01,3.96509507e-01,3.96509507e-01,2.52922631e-01,2.68465836e-01,2.40340458e-01,2.54014177e-01
0.2800,2.72238116e-01,5.32738339e-01,5.32738339e-01,2.57181413e-01,5.03274121e-01,5.03274121e-01,2.17750936e-01,4.26113263e-01,4.26113263e-01,2.64602689e-01,2.73456732e-01,2.58332630e-01,2.65787127e-01
0.2900,3.07017046e-01,6.44580079e-01,6.44580079e-01,2.78906410e-01,5.85562001e-01,5.85562001e-01,2.18463258e-01,4.58662038e-01,4.58662038e-01,2.92624371e-01,3.08440652e-01,2.80199670e-01,2.93981239e-01
0.3000,3.46620511e-01,7.78905209e-01,7.78905209e-01,3.19413129e-01,7.17766380e-01,7.17766380e-01,2.16589508e-01,4.86707192e-01,4.86707192e-01,3.32738849e-01,3.48283442e-01,3.20945531e-01,3.34335182e-01
0.3100,3.68043012e-01,8.83241084e-01,8.83241084e-01,3.36161427e-01,8.06730661e-01,8.06730661e-01,2.14136396e-01,5.13891192e-01,5.13891192e-01,3.51741189e-01,3.69867868e-01,3.37828205e-01,3.53485216e-01
0.3200,3.74540396e-01,9.57911502e-01,9.57911502e-01,3.51488493e-01,8.98954755e-01,8.98954755e-01,2.01947035e-01,5.16492719e-01,5.16492719e-01,3.62831420e-01,3.76457679e-01,3.53287773e-01,3.64688765e-01
0.3300,3.59972839e-01,9.79250627e-01,9.79250627e-01,3.65164631e-01,9.93374098e-01,9.93374098e-01,1.93879978e-01,5.27420599e-01,5.27420599e-01,3.62559442e-01,3.61873439e-01,3.67092644e-01,3.64473699e-01
0.3400,3.33388911e-01,9.62885664e-01,9.62885664e-01,3.66321826e-01,1.05800170e+00,1.05800170e+00,2.19320157e-01,6.33435090e-01,6.33435090e-01,3.49467645e-01,3.35202783e-01,3.68314876e-01,3.51368996e-01
0.3500,3.11872357e-01,9.54658862e-01,9.54658862e-01,3.85416805e-01,1.17978256e+00,1.17978256e+00,2.46893292e-01,7.55754284e-01,7.55754284e-01,3.46699938e-01,3.13619349e-01,3.87575766e-01,3.48642022e-01
0.3600,3.02526257e-01,9.79879848e-01,9.79879848e-01,3.86855787e-01,1.25302244e+00,1.25302244e+00,2.55747124e-01,8.28362654e-01,8.28362654e-01,3.42102372e-01,3.04269593e-01,3.89085080e-01,3.44073770e-01
0.3700,2.97164690e-01,1.01689223e+00,1.01689223e+00,3.66399875e-01,1.25381378e+00,1.25381378e+00,2.50032488e-01,8.55606676e-01,8.55606676e-01,3.29971370e-01,2.98924980e-01,3.68570287e-01,3.31925994e-01
0.3800,3.04990878e-01,1.10102671e+00,1.10102671e+00,3.66327888e-01,1.32245525e+00,1.32245525e+00,2.33925748e-01,8.44479341e-01,8.44479341e-01,3.34255388e-01,3.06846652e-01,3.68556879e-01,3.36289227e-01
0.3900,3.21074699e-01,1.22109275e+00,1.22109275e+00,3.77767457e-01,1.43670338e+00,1.43670338e+00,2.15465208e-01,8.19444837e-01,8.19444837e-01,3.48269397e-01,3.23080071e-01,3.80126921e-01,3.50444621e-01
0.4000,3.29169331e-01,1.31711065e+00,1.31711065e+00,3.97524958e-01,1.59062314e+00,1.59062314e+00,2.20202381e-01,8.81099403e-01,8.81099403e-01,3.61736125e-01,3.31278314e-01,4.00071895e-01,3.64053764e-01
0.4100,3.30472369e-01,1.38948976e+00,1.38948976e+00,3.91307184e-01,1.64527317e+00,1.64527317e+00,2.36160565e-01,9.92950444e-01,9.92950444e-01,3.59605634e-01,3.32642982e-01,3.93877372e-01,3.61967600e-01
0.4200,3.28973477e-01,1.45171555e+00,1.45171555e+00,3.75964351e-01,1.65907993e+00,1.65907993e+00,2.38613417e-01,1.05296880e+00,1.05296880e+00,3.51684944e-01,3.31187301e-01,3.78494400e-01,3.54051605e-01
0.4300,3.20420263e-01,1.48234242e+00,1.48234242e+00,4.00832360e-01,1.85434842e+00,1.85434842e+00,2.26959651e-01,1.04997079e+00,1.04997079e+00,3.58378027e-01,3.22628221e-01,4.03594424e-01,3.60847545e-01
0.4400,3.19171311e-01,1.54628824e+00,1.54628824e+00,4.59357746e-01,2.22544903e+00,2.22544903e+00,2.12258735e-01,1.02832923e+00,1.02832923e+00,3.82901833e-01,3.21422171e-01,4.62597230e-01,3.85602135e-01
0.4500,3.22642331e-01,1.63522396e+00,1.63522396e+00,5.00932372e-01,2.53883802e+00,2.53883802e+00,1.93536597e-01,9.80887040e-01,9.80887040e-01,4.02022373e-01,3.24969755e-01,5.04545916e-01,4.04922416e-01
0.4600,3.17083030e-01,1.67953537e+00,1.67953537e+00,5.18660635e-01,2.74725797e+00,2.74725797e+00,1.73131985e-01,9.17050945e-01,9.17050945e-01,4.05534814e-01,3.19421555e-01,5.22485820e-01,4.08525683e-01
0.4700,3.11526536e-01,1.72290325e+00,1.72290325e+00,5.14735669e-01,2.84675510e+00,2.84675510e+00,1.54439698e-01,8.54131592e-01,8.54131592e-01,4.00442030e-01,3.13874405e-01,5.18615056e-01,4.03460025e-01
0.4800,3.06364938e-01,1.76750768e+00,1.76750768e+00,4.95749267e-01,2.86012049e+00,2.86012049e+00,1.61530077e-01,9.31913595e-01,9.31913595e-01,3.89718095e-01,3.08723411e-01,4.99565668e-01,3.92718241e-01
0.4900,2.98036245e-01,1.79213481e+00,1.79213481e+00,4.61892528e-01,2.77742620e+00,2.77742620e+00,1.61420456e-01,9.70644419e-01,9.70644419e-01,3.71026569e-01,3.00378777e-01,4.65522951e-01,3.73942796e-01
0.5000,2.86621056e-01,1.79484604e+00,1.79484604e+00,4.22685027e-01,2.64689049e+00,2.64689049e+00,1.63699523e-01,1.02510068e+00,1.02510068e+00,3.48066702e-01,2.88920210e-01,4.26075629e-01,3.50858747e-01
0.5100,2.75239609e-01,1.79349457e+00,1.79349457e+00,4.07386913e-01,2.65458237e+00,2.65458237e+00,1.54602835e-01,1.00741076e+00,1.00741076e+00,3.34856708e-01,2.77491985e-01,4.10720692e-01,3.37596949e-01
0.5200,2.68794621e-01,1.82115006e+00,1.82115006e+00,4.05792346e-01,2.74934355e+00,2.74934355e+00,1.62884030e-01,1.10357960e+00,1.10357960e+00,3.30264742e-01,2.71037745e-01,4.09178732e-01,3.33020841e-01
0.5300,2.66612638e-01,1.87681146e+00,1.87681146e+00,3.79009928e-01,2.66802872e+00,2.66802872e+00,1.76652757e-01,1.24354165e+00,1.24354165e+00,3.17881797e-01,2.68880704e-01,3.82234154e-01,3.20586008e-01
0.5400,2.64461076e-01,1.93289013e+00,1.93289013e+00,3.80449118e-01,2.78062222e+00,2.78062222e+00,1.81089111e-01,1.32354205e+00,1.32354205e+00,3.17197073e-01,2.66753655e-01,3.83747182e-01,3.19946813e-01
0.5500,2.61598831e-01,1.98375846e+00,1.98375846e+00,3.70345671e-01,2.80840841e+00,2.80840841e+00,1.72742711e-01,1.30994398e+00,1.30994398e+00,3.11258726e-01,2.63908964e-01,3.73616128e-01,3.14007397e-01
0.5600,2.51877618e-01,1.98044589e+00,1.98044589e+00,3.58509685e-01,2.81886512e+00,2.81886512e+00,1.57959704e-01,1.24199462e+00,1.24199462e+00,3.00500525e-01,2.54142710e-01,3.61733701e-01,3.03202874e-01
0.5700,2.40937637e-01,1.96300522e+00,1.96300522e+00,3.51669492e-01,2.86517730e+00,2.86517730e+00,1.46547649e-01,1.19397618e+00,1.19397618e+00,2.91084895e-01,2.43143393e-01,3.54888985e-01,2.93749744e-01
0.5800,2.33572516e-01,1.97067307e+00,1.97067307e+00,3.44746751e-01,2.90866044e+00,2.90866044e+00,1.43253605e-01,1.20864401e+00,1.20864401e+00,2.83766393e-01,2.35748709e-01,3.47958753e-01,2.86410242e-01
0.5900,2.30447439e-01,2.01225277e+00,2.01225277e+00,3.35840227e-01,2.93253608e+00,2.93253608e+00,1.44173137e-01,1.25891090e+00,1.25891090e+00,2.78196909e-01,2.32631886e-01,3.39023708e-01,2.80833980e-01
0.6000,2.29688234e-01,2.07452014e+00,2.07452014e+00,3.32629562e-01,3.00427546e+00,3.00427546e+00,1.42525158e-01,1.28727234e+00,1.28727234e+00,2.76407483e-01,2.31902742e-01,3.35836565e-01,2.79072428e-01
0.6100,2.29379566e-01,2.14170966e+00,2.14170966e+00,3.41136550e-01,3.18518104e+00,3.18518104e+00,1.35377816e-01,1.26401833e+00,1.26401833e+00,2.79731575e-01,2.31628318e-01,3.44480927e-01,2.82473959e-01
