T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.2100,2.36591718e-01,2.60136536e-01,2.60136536e-01,2.35614210e-01,2.59061749e-01,2.59061749e-01,1.40273202e-01,1.54232722e-01,1.54232722e-01,2.36102458e-01,2.37385120e-01,2.36404334e-01,2.36894219e-01
0.2200,2.62967867e-01,3.17380783e-01,3.17380783e-01,2.25494481e-01,2.72153460e-01,2.72153460e-01,1.52206119e-01,1.83700381e-01,1.83700381e-01,2.43511402e-01,2.63891861e-01,2.26286803e-01,2.44367030e-01
0.2300,2.96264334e-01,3.90874189e-01,3.90874189e-01,2.31962873e-01,3.06038526e-01,3.06038526e-01,1.59487940e-01,2.10419251e-01,2.10419251e-01,2.62149435e-01,2.97352813e-01,2.32815108e-01,2.63112575e-01
0.2400,2.94761894e-01,4.23511445e-01,4.23511445e-01,2.44819417e-01,3.51754508e-01,3.51754508e-01,1.68552767e-01,2.42175219e-01,2.42175219e-01,2.68632528e-01,2.95892119e-01,2.45758144e-01,2.69662563e-01
0.2500,2.88716942e-01,4.50187059e-01,4.50187059e-01,2.63334355e-01,4.10608806e-01,4.10608806e-01,1.96713316e-01,3.06728759e-01,3.06728759e-01,2.75733730e-01,2.89870299e-01,2.64386315e-01,2.76835222e-01
0.2600,2.84131655e-01,4.79265799e-01,4.79265799e-01,2.65648668e-01,4.48089184e-01,4.48089184e-01,2.14189339e-01,3.61288941e-01,3.61288941e-01,2.74734773e-01,2.85312285e-01,2.66752498e-01,2.75876357e-01
0.2700,3.00141916e-01,5.46051638e-01,5.46051638e-01,2.57501586e-01,4.68475594e-01,4.68475594e-01,2.21822136e-01,4.03563561e-01,4.03563561e-01,2.78005430e-01,3.01437247e-01,2.58612893e-01,2.79205226e-01
0.2800,3.12408561e-01,6.11347230e-01,6.11347230e-01,2.45076378e-01,4.79585976e-01,4.79585976e-01,2.05240930e-01,4.01632637e-01,4.01632637e-01,2.76701931e-01,3.13806992e-01,2.46173410e-01,2.77940528e-01
0.2900,3.24340391e-01,6.80950316e-01,6.80950316e-01,2.47405776e-01,5.19426645e-01,5.19426645e-01,1.90662691e-01,4.00294946e-01,4.00294946e-01,2.83273165e-01,3.25844323e-01,2.48552970e-01,2.84586673e-01
0.3000,3.29065833e-01,7.39457369e-01,7.39457369e-01,2.61936279e-01,5.88607787e-01,5.88607787e-01,2.19479588e-01,4.93201611e-01,4.93201611e-01,2.93588623e-01,3.30644544e-01,2.63192933e-01,2.94997131e-01
0.3100,3.33793423e-01,8.01047853e-01,8.01047853e-01,2.71999145e-01,6.52752019e-01,6.52752019e-01,2.30687366e-01,5.53610725e-01,5.53610725e-01,3.01316321e-01,3.35448460e-01,2.73347789e-01,3.02810328e-01
0.3200,3.24378281e-01,8.29618619e-01,8.29618619e-01,2.81309771e-01,7.19468095e-01,7.19468095e-01,2.21311073e-01,5.66017509e-01,5.66017509e-01,3.02077440e-01,3.26038783e-01,2.82749804e-01,3.03623783e-01
0.3300,3.00894333e-01,8.18536658e-01,8.18536658e-01,2.80333562e-01,7.62604248e-01,7.62604248e-01,2.21504440e-01,6.02568689e-01,6.02568689e-01,2.90432058e-01,3.02483008e-01,2.81813679e-01,2.91965494e-01
