T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.2100,7.23996841e-02,7.96046587e-02,7.96046587e-02,9.33346304e-02,1.02622981e-01,1.02622981e-01,5.71995802e-02,6.28918913e-02,6.28918913e-02,8.22033926e-02,7.26424736e-02,9.36476245e-02,8.24790585e-02
0.2200,6.72178628e-02,8.11264819e-02,8.11264819e-02,1.01740488e-01,1.22792476e-01,1.22792476e-01,5.02477530e-02,6.06449425e-02,6.06449425e-02,8.26969053e-02,6.74540470e-02,1.02097974e-01,8.29874783e-02
0.2300,6.87655749e-02,9.07253601e-02,9.07253601e-02,1.07586295e-01,1.41943194e-01,1.41943194e-01,4.18945390e-02,5.52732547e-02,5.52732547e-02,8.60129840e-02,6.90182205e-02,1.07981568e-01,8.63289968e-02
0.2400,6.73641093e-02,9.67881938e-02,9.67881938e-02,1.05443862e-01,1.51500867e-01,1.51500867e-01,3.66386579e-02,5.26421200e-02,5.26421200e-02,8.42800799e-02,6.76224079e-02,1.05848172e-01,8.46032404e-02
0.2500,6.63566595e-02,1.03467809e-01,1.03467809e-01,1.03708922e-01,1.61709993e-01,1.61709993e-01,3.67715581e-02,5.73367102e-02,5.73367102e-02,8.29564804e-02,6.66217390e-02,1.04123215e-01,8.32878723e-02
0.2600,6.66474199e-02,1.12419114e-01,1.12419114e-01,9.46666863e-02,1.59681276e-01,1.59681276e-01,4.11599028e-02,6.94274411e-02,6.94274411e-02,7.94310417e-02,6.69243548e-02,9.50600475e-02,7.97610954e-02
0.2700,7.29165765e-02,1.32657966e-01,1.32657966e-01,8.91188206e-02,1.62134895e-01,1.62134895e-01,3.86598030e-02,7.03342239e-02,7.03342239e-02,8.06116574e-02,7.32312647e-02,8.95034333e-02,8.09595554e-02
0.2800,7.23153801e-02,1.41512791e-01,1.41512791e-01,8.71287479e-02,1.70500829e-01,1.70500829e-01,3.55291998e-02,6.95265129e-02,6.95265129e-02,7.93772545e-02,7.26390845e-02,8.75187611e-02,7.97325698e-02
0.2900,7.23057820e-02,1.51805469e-01,1.51805469e-01,7.74438677e-02,1.62592843e-01,1.62592843e-01,3.57286388e-02,7.50120200e-02,7.50120200e-02,7.48307384e-02,7.26410563e-02,7.78029668e-02,7.51777207e-02
0.3000,8.12564729e-02,1.82594763e-01,1.82594763e-01,7.36837363e-02,1.65577755e-01,1.65577755e-01,3.88803483e-02,8.73696299e-02,8.73696299e-02,7.73775195e-02,8.16463053e-02,7.40372380e-02,7.77487424e-02
0.3100,8.68658835e-02,2.08463453e-01,2.08463453e-01,7.58383283e-02,1.81999182e-01,1.81999182e-01,4.01402036e-02,9.63297107e-02,9.63297107e-02,8.11650380e-02,8.72965877e-02,7.62143549e-02,8.15674759e-02
0.3200,9.36062148e-02,2.39404002e-01,2.39404002e-01,8.63480230e-02,2.20840703e-01,2.20840703e-01,4.27780519e-02,1.09407659e-01,1.09407659e-01,8.99039019e-02,9.40853878e-02,8.67900410e-02,9.03641226e-02
0.3300,1.04573837e-01,2.84477005e-01,2.84477005e-01,1.06359028e-01,2.89333344e-01,2.89333344e-01,3.88841687e-02,1.05778388e-01,1.05778388e-01,1.05462655e-01,1.05125970e-01,1.06920587e-01,1.06019482e-01
0.3400,1.11031816e-01,3.20679363e-01,3.20679363e-01,1.28295138e-01,3.70538866e-01,3.70538866e-01,4.42360226e-02,1.27761394e-01,1.27761394e-01,1.19351758e-01,1.11635908e-01,1.28993155e-01,1.20001116e-01
0.3500,1.10605511e-01,3.38569704e-01,3.38569704e-01,1.32720850e-01,4.06266002e-01,4.06266002e-01,4.50675640e-02,1.37954353e-01,1.37954353e-01,1.21159636e-01,1.11225082e-01,1.33464303e-01,1.21838327e-01
0.3600,1.04453673e-01,3.38324516e-01,3.38324516e-01,1.23955812e-01,4.01491770e-01,4.01491770e-01,4.13553703e-02,1.33949676e-01,1.33949676e-01,1.13787697e-01,1.05055598e-01,1.24670119e-01,1.14443409e-01
0.3700,9.44293022e-02,3.23135374e-01,3.23135374e-01,1.16774282e-01,3.99599493e-01,3.99599493e-01,3.72777621e-02,1.27563831e-01,1.27563831e-01,1.05009114e-01,9.49886651e-02,1.17466008e-01,1.05631147e-01
0.3800,8.36162833e-02,3.01857425e-01,3.01857425e-01,1.20183561e-01,4.33866453e-01,4.33866453e-01,3.58043672e-02,1.29254897e-01,1.29254897e-01,1.00246210e-01,8.41250622e-02,1.20914841e-01,1.00856177e-01
0.3900,7.99235481e-02,3.03960623e-01,3.03960623e-01,1.20128978e-01,4.56867592e-01,4.56867592e-01,3.62642724e-02,1.37918187e-01,1.37918187e-01,9.79853772e-02,8.04227355e-02,1.20879281e-01,9.85973753e-02
0.4000,7.68472019e-02,3.07489971e-01,3.07489971e-01,1.07692285e-01,4.30910909e-01,4.30910909e-01,3.99073803e-02,1.59682056e-01,1.59682056e-01,9.09717033e-02,7.73395609e-02,1.08382268e-01,9.15545577e-02
0.4100,8.00583103e-02,3.36609691e-01,3.36609691e-01,8.76394874e-02,3.68485179e-01,3.68485179e-01,4.26493954e-02,1.79321794e-01,1.79321794e-01,8.37631737e-02,8.05841503e-02,8.82151222e-02,8.43133481e-02
0.4200,8.02887852e-02,3.54303571e-01,3.54303571e-01,7.97820132e-02,3.52067255e-01,3.52067255e-01,4.23152185e-02,1.86731347e-01,1.86731347e-01,8.00349981e-02,8.08290878e-02,8.03189056e-02,8.05735929e-02
0.4300,7.96563768e-02,3.68509860e-01,3.68509860e-01,7.28706764e-02,3.37117552e-01,3.37117552e-01,4.13760386e-02,1.91415663e-01,1.91415663e-01,7.61880178e-02,8.02052747e-02,7.33728152e-02,7.67130158e-02
0.4400,8.32198243e-02,4.03174821e-01,4.03174821e-01,8.28516804e-02,4.01391275e-01,4.01391275e-01,4.12211315e-02,1.99703886e-01,1.99703886e-01,8.30355483e-02,8.38067073e-02,8.34359672e-02,8.36211318e-02
0.4500,8.76098576e-02,4.44026479e-01,4.44026479e-01,9.19436802e-02,4.65991267e-01,4.65991267e-01,4.00035469e-02,2.02746981e-01,2.02746981e-01,8.97506141e-02,8.82418433e-02,9.26069285e-02,9.03980424e-02
0.4600,9.54882932e-02,5.05785396e-01,5.05785396e-01,9.55119354e-02,5.05910625e-01,5.05910625e-01,4.04275384e-02,2.14137858e-01,2.14137858e-01,9.55001136e-02,9.61925310e-02,9.62163476e-02,9.62044385e-02
0.4700,1.04760817e-01,5.79381628e-01,5.79381628e-01,9.70347249e-02,5.36652334e-01,5.36652334e-01,4.19009012e-02,2.31733706e-01,2.31733706e-01,1.00823792e-01,1.05550364e-01,9.77660425e-02,1.01583667e-01
0.4800,1.13667164e-01,6.55778647e-01,6.55778647e-01,9.82512673e-02,5.66839896e-01,5.66839896e-01,4.38837109e-02,2.53177784e-01,2.53177784e-01,1.05678488e-01,1.14542201e-01,9.90076299e-02,1.06492027e-01
0.4900,1.17903693e-01,7.08971867e-01,7.08971867e-01,1.00541638e-01,6.04571327e-01,6.04571327e-01,4.46775035e-02,2.68652255e-01,2.68652255e-01,1.08877135e-01,1.18830403e-01,1.01331884e-01,1.09732897e-01
