T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.2100,2.67896388e-01,8.76687567e+00,2.93129144e-01,2.54530103e-01,8.36788862e+00,2.78637539e-01,1.85295508e-01,6.19222337e+00,2.01806409e-01,2.61127737e-01,2.67492211e-01,2.54268035e-01,2.60796316e-01
0.2200,2.38712825e-01,7.92839298e+00,2.86447704e-01,2.70303276e-01,8.79607547e+00,3.24175589e-01,1.53246509e-01,6.35240441e+00,1.83363230e-01,2.54017437e-01,2.38172005e-01,2.69541522e-01,2.53371752e-01
0.2300,2.24700772e-01,7.55148763e+00,2.94307923e-01,2.74271998e-01,8.78943509e+00,3.59195731e-01,1.67854596e-01,6.57894112e+00,2.19717007e-01,2.48252149e-01,2.23891194e-01,2.73253808e-01,2.47344135e-01
0.2400,2.31772475e-01,7.79099368e+00,3.30666149e-01,2.35773537e-01,8.85850232e+00,3.36384271e-01,1.88253335e-01,7.04907868e+00,2.68743179e-01,2.33764446e-01,2.31024471e-01,2.35019515e-01,2.33013431e-01
0.2500,2.23592744e-01,8.08595432e+00,3.46106642e-01,2.01077130e-01,7.96544332e+00,3.11149386e-01,1.71579600e-01,7.18560828e+00,2.65585724e-01,2.12036288e-01,2.22854109e-01,2.00345531e-01,2.11300319e-01
0.2600,2.20407805e-01,8.72126751e+00,3.69367077e-01,2.57203998e-01,1.01976827e+01,4.30774789e-01,1.64127197e-01,7.14748563e+00,2.74911139e-01,2.38096133e-01,2.19888348e-01,2.56445045e-01,2.37464265e-01
0.2700,2.29258087e-01,9.03662366e+00,4.14120575e-01,2.96534199e-01,1.21909113e+01,5.35283543e-01,1.89833473e-01,7.52703546e+00,3.42537064e-01,2.60735236e-01,2.28607255e-01,2.95492929e-01,2.59907344e-01
0.2800,2.45021660e-01,1.02504241e+01,4.75611228e-01,3.34826692e-01,1.35192134e+01,6.49682115e-01,1.78763462e-01,7.84206006e+00,3.46667371e-01,2.86425892e-01,2.44133156e-01,3.33484442e-01,2.85332454e-01
0.2900,2.38122152e-01,1.09473777e+01,4.95572160e-01,3.30439926e-01,1.53578154e+01,6.87726843e-01,1.77846537e-01,8.33035611e+00,3.70327414e-01,2.80508585e-01,2.37138263e-01,3.29086987e-01,2.79354822e-01
0.3000,2.33596825e-01,1.08643669e+01,5.20232674e-01,2.95379131e-01,1.38916854e+01,6.58259355e-01,1.91144588e-01,9.06167712e+00,4.25583560e-01,2.62677801e-01,2.32619354e-01,2.94337272e-01,2.61664950e-01
