T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.2100,1.19483031e-01,1.31373583e-01,1.31373583e-01,1.63065008e-01,1.79292693e-01,1.79292693e-01,7.94853867e-02,8.73955068e-02,8.73955068e-02,1.39583313e-01,1.19883713e-01,1.63611840e-01,1.40051401e-01
0.2200,1.17462233e-01,1.41767342e-01,1.41767342e-01,1.57381485e-01,1.89946625e-01,1.89946625e-01,7.39981682e-02,8.93097579e-02,8.93097579e-02,1.35964631e-01,1.17874962e-01,1.57934478e-01,1.36442371e-01
0.2300,1.21808610e-01,1.60707301e-01,1.60707301e-01,1.31476559e-01,1.73462639e-01,1.73462639e-01,6.02460395e-02,7.94851732e-02,7.94851732e-02,1.26550294e-01,1.22256136e-01,1.31959605e-01,1.27015241e-01
0.2400,1.20699113e-01,1.73419485e-01,1.73419485e-01,1.52863041e-01,2.19632350e-01,2.19632350e-01,5.52689913e-02,7.94100285e-02,7.94100285e-02,1.35832373e-01,1.21161917e-01,1.53449173e-01,1.36353203e-01
0.2500,1.32096836e-01,2.05974355e-01,2.05974355e-01,1.50089068e-01,2.34029066e-01,2.34029066e-01,4.60769895e-02,7.18463705e-02,7.18463705e-02,1.40805863e-01,1.32624532e-01,1.50688639e-01,1.41368349e-01
0.2600,1.39802161e-01,2.35814607e-01,2.35814607e-01,1.30295400e-01,2.19778852e-01,2.19778852e-01,4.05489817e-02,6.83969554e-02,6.83969554e-02,1.34965101e-01,1.40383070e-01,1.30836806e-01,1.35525911e-01
0.2700,1.42404973e-01,2.59079004e-01,2.59079004e-01,1.17544653e-01,2.13850338e-01,2.13850338e-01,4.57571768e-02,8.32465576e-02,8.32465576e-02,1.29379068e-01,1.43019554e-01,1.18051944e-01,1.29937433e-01
0.2800,1.40317665e-01,2.74585355e-01,2.74585355e-01,1.19231703e-01,2.33322579e-01,2.33322579e-01,5.52468960e-02,1.08111752e-01,1.08111752e-01,1.29345715e-01,1.40945767e-01,1.19765418e-01,1.29924704e-01
0.2900,1.20905131e-01,2.53839452e-01,2.53839452e-01,1.14437877e-01,2.40261499e-01,2.40261499e-01,6.16172156e-02,1.29364900e-01,1.29364900e-01,1.17627065e-01,1.21465755e-01,1.14968513e-01,1.18172490e-01
0.3000,9.45666585e-02,2.12504628e-01,2.12504628e-01,1.18059017e-01,2.65295273e-01,2.65295273e-01,6.10059512e-02,1.37088982e-01,1.37088982e-01,1.05661945e-01,9.50203472e-02,1.18625411e-01,1.06168864e-01
0.3100,9.20740955e-02,2.20962282e-01,2.20962282e-01,1.09836564e-01,2.63589206e-01,2.63589206e-01,5.09948894e-02,1.22379124e-01,1.22379124e-01,1.00563921e-01,9.25306234e-02,1.10381162e-01,1.01062544e-01
0.3200,8.82443199e-02,2.25690606e-01,2.25690606e-01,9.29598467e-02,2.37750874e-01,2.37750874e-01,4.92407673e-02,1.25936475e-01,1.25936475e-01,9.05713998e-02,8.86960451e-02,9.34357109e-02,9.10350374e-02
0.3300,8.26634798e-02,2.24873256e-01,2.24873256e-01,8.77386023e-02,2.38679345e-01,2.38679345e-01,4.98045389e-02,1.35485572e-01,1.35485572e-01,8.51632443e-02,8.30999300e-02,8.82018484e-02,8.56128929e-02
0.3400,7.33858512e-02,2.11951213e-01,2.11951213e-01,8.56952047e-02,2.47502785e-01,2.47502785e-01,4.63789665e-02,1.33950592e-01,1.33950592e-01,7.93020526e-02,7.37851223e-02,8.61614474e-02,7.97335120e-02
0.3500,6.73128314e-02,2.06048371e-01,2.06048371e-01,7.50442294e-02,2.29714616e-01,2.29714616e-01,4.80133145e-02,1.46971462e-01,1.46971462e-01,7.10734800e-02,6.76898927e-02,7.54645992e-02,7.14716071e-02
0.3600,6.55378740e-02,2.12276589e-01,2.12276589e-01,7.21673938e-02,2.33749545e-01,2.33749545e-01,5.12841493e-02,1.66108902e-01,1.66108902e-01,6.87727967e-02,6.59155422e-02,7.25832653e-02,6.91691064e-02
0.3700,6.35575368e-02,2.17492748e-01,2.17492748e-01,7.88208083e-02,2.69723389e-01,2.69723389e-01,4.92566212e-02,1.68555272e-01,1.68555272e-01,7.07789264e-02,6.39340272e-02,7.92877125e-02,7.11981936e-02
0.3800,6.32000327e-02,2.28154115e-01,2.28154115e-01,7.53849127e-02,2.72141917e-01,2.72141917e-01,4.83317878e-02,1.74479281e-01,1.74479281e-01,6.90241186e-02,6.35845851e-02,7.58436064e-02,6.94441088e-02
0.3900,6.33581011e-02,2.40959871e-01,2.40959871e-01,7.01852037e-02,2.66924314e-01,2.66924314e-01,4.70702587e-02,1.79014890e-01,1.79014890e-01,6.66843402e-02,6.37538238e-02,7.06235672e-02,6.71008380e-02
