time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.245000,3.27203731e-06,-6.14295895e-07,-1.92271752e-07,3.33541010e-09,-6.26193573e-10,-1.95995670e-10
0.250000,3.27202866e-06,-6.14459259e-07,-1.92817028e-07,3.33540128e-09,-6.26360101e-10,-1.96551507e-10
0.255000,3.27202047e-06,-6.14627836e-07,-1.93377920e-07,3.33539293e-09,-6.26531943e-10,-1.97123262e-10
0.260000,3.27201328e-06,-6.14802162e-07,-1.93954179e-07,3.33538561e-09,-6.26709645e-10,-1.97710681e-10
0.265000,3.27200693e-06,-6.14982224e-07,-1.94545458e-07,3.33537913e-09,-6.26893194e-10,-1.98313412e-10
0.270000,3.27200052e-06,-6.15167332e-07,-1.95151519e-07,3.33537260e-09,-6.27081888e-10,-1.98931212e-10
0.275000,3.27199293e-06,-6.15356376e-07,-1.95772273e-07,3.33536486e-09,-6.27274594e-10,-1.99563989e-10
0.280000,3.27198341e-06,-6.15548331e-07,-1.96407789e-07,3.33535516e-09,-6.27470266e-10,-2.00211814e-10
0.285000,3.27197212e-06,-6.15742709e-07,-1.97058350e-07,3.33534365e-09,-6.27668409e-10,-2.00874974e-10
0.290000,3.27195989e-06,-6.15939698e-07,-1.97724372e-07,3.33533118e-09,-6.27869213e-10,-2.01553896e-10
0.295000,3.27194764e-06,-6.16139942e-07,-1.98406196e-07,3.33531869e-09,-6.28073335e-10,-2.02248925e-10
0.300000,3.27193595e-06,-6.16344185e-07,-1.99103994e-07,3.33530678e-09,-6.28281534e-10,-2.02960239e-10
0.305000,3.27192516e-06,-6.16553015e-07,-1.99817925e-07,3.33529578e-09,-6.28494409e-10,-2.03687997e-10
0.310000,3.27191554e-06,-6.16766722e-07,-2.00548283e-07,3.33528597e-09,-6.28712254e-10,-2.04432500e-10
