time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
2.10000000e-01,4.79819069e-06,1.83267861e-06,-5.77345251e-06,4.89112201e-09,1.86817391e-09,-5.88527269e-09
2.15000000e-01,4.79733013e-06,1.83544537e-06,-5.77391907e-06,4.89024478e-09,1.87099426e-09,-5.88574829e-09
2.20000000e-01,4.79649094e-06,1.83872950e-06,-5.77438615e-06,4.88938933e-09,1.87434200e-09,-5.88622441e-09
2.25000000e-01,4.79575727e-06,1.84286194e-06,-5.77490055e-06,4.88864145e-09,1.87855447e-09,-5.88674877e-09
2.30000000e-01,4.79525796e-06,1.84787730e-06,-5.77550305e-06,4.88813248e-09,1.88366697e-09,-5.88736294e-09
2.35000000e-01,4.79509706e-06,1.85337797e-06,-5.77623783e-06,4.88796846e-09,1.88927418e-09,-5.88811196e-09
2.40000000e-01,4.79527353e-06,1.85861322e-06,-5.77716774e-06,4.88814835e-09,1.89461083e-09,-5.88905988e-09
2.45000000e-01,4.79564436e-06,1.86277968e-06,-5.77838043e-06,4.88852636e-09,1.89885798e-09,-5.89029606e-09
2.50000000e-01,4.79596364e-06,1.86541692e-06,-5.77996917e-06,4.88885182e-09,1.90154630e-09,-5.89191556e-09
2.55000000e-01,4.79598083e-06,1.86669502e-06,-5.78198377e-06,4.88886934e-09,1.90284916e-09,-5.89396919e-09
2.60000000e-01,4.79553652e-06,1.86742484e-06,-5.78436816e-06,4.88841643e-09,1.90359310e-09,-5.89639976e-09
2.65000000e-01,4.79458697e-06,1.86875845e-06,-5.78691646e-06,4.88744849e-09,1.90495255e-09,-5.89899741e-09
2.70000000e-01,4.79313435e-06,1.87171436e-06,-5.78928149e-06,4.88596774e-09,1.90796571e-09,-5.90140825e-09
2.75000000e-01,4.79111707e-06,1.87676037e-06,-5.79105609e-06,4.88391138e-09,1.91310945e-09,-5.90321722e-09
2.80000000e-01,4.78836873e-06,1.88365578e-06,-5.79191954e-06,4.88110981e-09,1.92013841e-09,-5.90409739e-09
2.85000000e-01,4.78473102e-06,1.89160773e-06,-5.79180102e-06,4.87740165e-09,1.92824437e-09,-5.90397657e-09
2.90000000e-01,4.78029595e-06,1.89962769e-06,-5.79097456e-06,4.87288068e-09,1.93641966e-09,-5.90313411e-09
2.95000000e-01,4.77562168e-06,1.90688866e-06,-5.78999912e-06,4.86811588e-09,1.94382127e-09,-5.90213977e-09
3.00000000e-01,4.77172139e-06,1.91292744e-06,-5.78948505e-06,4.86414005e-09,1.94997700e-09,-5.90161575e-09
3.05000000e-01,4.76973580e-06,1.91765860e-06,-5.78978604e-06,4.86211601e-09,1.95479980e-09,-5.90192257e-09
3.10000000e-01,4.77042151e-06,1.92127129e-06,-5.79080598e-06,4.86281500e-09,1.95848246e-09,-5.90296227e-09
3.15000000e-01,4.77375354e-06,1.92410495e-06,-5.79208507e-06,4.86621156e-09,1.96137100e-09,-5.90426613e-09
3.20000000e-01,4.77889649e-06,1.92656100e-06,-5.79316678e-06,4.87145412e-09,1.96387462e-09,-5.90536879e-09
3.25000000e-01,4.78455446e-06,1.92905809e-06,-5.79403385e-06,4.87722167e-09,1.96642007e-09,-5.90625265e-09
3.30000000e-01,4.78945956e-06,1.93201441e-06,-5.79529699e-06,4.88222178e-09,1.96943365e-09,-5.90754026e-09
3.35000000e-01,4.79270063e-06,1.93583883e-06,-5.79794060e-06,4.88552562e-09,1.97333214e-09,-5.91023507e-09
3.40000000e-01,4.79375751e-06,1.94091323e-06,-5.80272053e-06,4.88660296e-09,1.97850482e-09,-5.91510757e-09
3.45000000e-01,4.79234964e-06,1.94754487e-06,-5.80956462e-06,4.88516783e-09,1.98526490e-09,-5.92208422e-09
3.50000000e-01,4.78833731e-06,1.95587369e-06,-5.81735430e-06,4.88107779e-09,1.99375504e-09,-5.93002477e-09
3.55000000e-01,4.78183071e-06,1.96574895e-06,-5.82424495e-06,4.87444517e-09,2.00382156e-09,-5.93704888e-09
3.60000000e-01,4.77343496e-06,1.97662911e-06,-5.82836959e-06,4.86588681e-09,2.01491245e-09,-5.94125341e-09
3.65000000e-01,4.76437873e-06,1.98757527e-06,-5.82856769e-06,4.85665518e-09,2.02607061e-09,-5.94145534e-09
3.70000000e-01,4.75630221e-06,1.99738027e-06,-5.82480401e-06,4.84842223e-09,2.03606551e-09,-5.93761876e-09
3.75000000e-01,4.75070626e-06,2.00481901e-06,-5.81814598e-06,4.84271790e-09,2.04364833e-09,-5.93083178e-09
3.80000000e-01,4.74831607e-06,2.00895881e-06,-5.81039856e-06,4.84028142e-09,2.04786830e-09,-5.92293431e-09
3.85000000e-01,4.74870479e-06,2.00945968e-06,-5.80360185e-06,4.84067766e-09,2.04837888e-09,-5.91600596e-09
3.90000000e-01,4.75040733e-06,2.00681373e-06,-5.79955234e-06,4.84241318e-09,2.04568168e-09,-5.91187802e-09
3.95000000e-01,4.75152623e-06,2.00248020e-06,-5.79941006e-06,4.84355376e-09,2.04126422e-09,-5.91173298e-09
4.00000000e-01,4.75061552e-06,1.99884391e-06,-5.80341814e-06,4.84262540e-09,2.03755750e-09,-5.91581870e-09
4.05000000e-01,4.74748787e-06,1.99888953e-06,-5.81080667e-06,4.83943718e-09,2.03760400e-09,-5.92335032e-09
4.10000000e-01,4.74355045e-06,2.00552170e-06,-5.81998150e-06,4.83542350e-09,2.04436463e-09,-5.93270285e-09
4.15000000e-01,4.74139031e-06,2.02061839e-06,-5.82901188e-06,4.83322151e-09,2.05975371e-09,-5.94190814e-09
4.20000000e-01,4.74365294e-06,2.04411067e-06,-5.83625906e-06,4.83552797e-09,2.08370098e-09,-5.94929568e-09
4.25000000e-01,4.75168358e-06,2.07347495e-06,-5.84089696e-06,4.84371415e-09,2.11363399e-09,-5.95402341e-09
4.30000000e-01,4.76464318e-06,2.10390485e-06,-5.84315998e-06,4.85692475e-09,2.14465326e-09,-5.95633025e-09
4.35000000e-01,4.77962054e-06,2.12918668e-06,-5.84428979e-06,4.87219220e-09,2.17042475e-09,-5.95748194e-09
4.40000000e-01,4.79269773e-06,2.14311722e-06,-5.84617112e-06,4.88552266e-09,2.18462509e-09,-5.95939972e-09
4.45000000e-01,4.80036211e-06,2.14124116e-06,-5.85061101e-06,4.89333548e-09,2.18271270e-09,-5.96392559e-09
4.50000000e-01,4.80049480e-06,2.12262553e-06,-5.85835872e-06,4.89347075e-09,2.16373652e-09,-5.97182337e-09
4.55000000e-01,4.79250701e-06,2.09119623e-06,-5.86829082e-06,4.88532825e-09,2.13169851e-09,-5.98194783e-09
4.60000000e-01,4.77677596e-06,2.05593487e-06,-5.87734691e-06,4.86929252e-09,2.09575420e-09,-5.99117931e-09
4.65000000e-01,4.75395677e-06,2.02928969e-06,-5.88148313e-06,4.84603137e-09,2.06859295e-09,-5.99539565e-09
4.70000000e-01,4.72479871e-06,2.02373373e-06,-5.87727888e-06,4.81630858e-09,2.06292939e-09,-5.99110997e-09
4.75000000e-01,4.69077324e-06,2.04734604e-06,-5.86342324e-06,4.78162410e-09,2.08699902e-09,-5.97698597e-09
4.80000000e-01,4.65523018e-06,2.10005932e-06,-5.84145132e-06,4.74539264e-09,2.14073325e-09,-5.95458850e-09
4.85000000e-01,4.62421520e-06,2.17228072e-06,-5.81559100e-06,4.71377696e-09,2.21435344e-09,-5.92822732e-09
4.90000000e-01,4.60596976e-06,2.24682308e-06,-5.79194857e-06,4.69517815e-09,2.29033954e-09,-5.90412698e-09
4.95000000e-01,4.60873978e-06,2.30380415e-06,-5.77727992e-06,4.69800182e-09,2.34842421e-09,-5.88917423e-09
5.00000000e-01,4.63752240e-06,2.32692523e-06,-5.77745134e-06,4.72734189e-09,2.37199310e-09,-5.88934897e-09
5.05000000e-01,4.69113364e-06,2.30888094e-06,-5.79572143e-06,4.78199148e-09,2.35359933e-09,-5.90797292e-09
5.10000000e-01,4.76104130e-06,2.25395719e-06,-5.83124975e-06,4.85325311e-09,2.29761181e-09,-5.94418935e-09
5.15000000e-01,4.83276386e-06,2.17706253e-06,-5.87848787e-06,4.92636479e-09,2.21922786e-09,-5.99234238e-09
5.20000000e-01,4.88958001e-06,2.09983037e-06,-5.92801449e-06,4.98428136e-09,2.14049986e-09,-6.04282823e-09
5.25000000e-01,4.91728051e-06,2.04520411e-06,-5.96889867e-06,5.01251836e-09,2.08481560e-09,-6.08450425e-09
5.30000000e-01,4.90823903e-06,2.03186753e-06,-5.99201688e-06,5.00330177e-09,2.07122072e-09,-6.10807021e-09
5.35000000e-01,4.86342101e-06,2.06953876e-06,-5.99313592e-06,4.95761571e-09,2.10962157e-09,-6.10921093e-09
5.40000000e-01,4.79183201e-06,2.15603508e-06,-5.97430433e-06,4.88464017e-09,2.19779315e-09,-6.09001460e-09
5.45000000e-01,4.70781817e-06,2.27698291e-06,-5.94258734e-06,4.79899915e-09,2.32108350e-09,-6.05768332e-09
5.50000000e-01,4.62724032e-06,2.40856214e-06,-5.90651783e-06,4.71686067e-09,2.45521115e-09,-6.02091522e-09
5.55000000e-01,4.56379865e-06,2.52268129e-06,-5.87211061e-06,4.65219027e-09,2.57154056e-09,-5.98584160e-09
5.60000000e-01,4.52661909e-06,2.59314555e-06,-5.84079707e-06,4.61429061e-09,2.64336957e-09,-5.95392158e-09
5.65000000e-01,4.51952093e-06,2.60134978e-06,-5.81065257e-06,4.60705497e-09,2.65173270e-09,-5.92319324e-09
5.70000000e-01,4.54148151e-06,2.54063966e-06,-5.78032710e-06,4.62944089e-09,2.58984675e-09,-5.89228043e-09
5.75000000e-01,4.58742798e-06,2.41892568e-06,-5.75328679e-06,4.67627725e-09,2.46577541e-09,-5.86471640e-09
5.80000000e-01,4.64893622e-06,2.25895353e-06,-5.73941189e-06,4.73897678e-09,2.30270492e-09,-5.85057277e-09
5.85000000e-01,4.71512699e-06,2.09535478e-06,-5.75221373e-06,4.80644953e-09,2.13593759e-09,-5.86362256e-09
5.90000000e-01,4.77424475e-06,1.96812639e-06,-5.80247768e-06,4.86671228e-09,2.00624505e-09,-5.91486002e-09
5.95000000e-01,4.81598775e-06,1.91359656e-06,-5.89147634e-06,4.90926376e-09,1.95065908e-09,-6.00558241e-09
6.00000000e-01,4.83407302e-06,1.95518972e-06,-6.00734691e-06,4.92769931e-09,1.99305782e-09,-6.12369716e-09
6.05000000e-01,4.82807972e-06,2.09637462e-06,-6.12647319e-06,4.92158992e-09,2.13697719e-09,-6.24513067e-09
6.10000000e-01,4.80342550e-06,2.31727185e-06,-6.21920164e-06,4.89645821e-09,2.36215276e-09,-6.33965509e-09
6.15000000e-01,4.76873573e-06,2.57570465e-06,-6.25777201e-06,4.86109657e-09,2.62559088e-09,-6.37897249e-09
6.20000000e-01,4.73127286e-06,2.81358848e-06,-6.22436891e-06,4.82290811e-09,2.86808204e-09,-6.34492243e-09
6.25000000e-01,4.69300441e-06,2.96944696e-06,-6.11758677e-06,4.78389848e-09,3.02695919e-09,-6.23607214e-09
6.30000000e-01,4.65058974e-06,2.99592921e-06,-5.95544028e-06,4.74066232e-09,3.05395435e-09,-6.07078520e-09
6.35000000e-01,4.60053538e-06,2.87756459e-06,-5.77299282e-06,4.68963851e-09,2.93329724e-09,-5.88480409e-09
6.40000000e-01,4.54665415e-06,2.64116687e-06,-5.61396050e-06,4.63471371e-09,2.69232097e-09,-5.72269164e-09
6.45000000e-01,4.50387148e-06,2.35232205e-06,-5.51822316e-06,4.59110242e-09,2.39788180e-09,-5.62510006e-09
6.50000000e-01,4.49363830e-06,2.09681003e-06,-5.50947598e-06,4.58067105e-09,2.13742103e-09,-5.61618347e-09
6.55000000e-01,4.53193466e-06,1.95283277e-06,-5.58773560e-06,4.61970914e-09,1.99065522e-09,-5.69595881e-09
6.60000000e-01,4.61707104e-06,1.96455755e-06,-5.72974894e-06,4.70649443e-09,2.00260708e-09,-5.84072267e-09
6.65000000e-01,4.72591013e-06,2.12734837e-06,-5.89737550e-06,4.81744152e-09,2.16855083e-09,-6.01159582e-09
6.70000000e-01,4.82200417e-06,2.39040855e-06,-6.05096966e-06,4.91539671e-09,2.43670597e-09,-6.16816479e-09
6.75000000e-01,4.87126261e-06,2.67556234e-06,-6.16280239e-06,4.96560919e-09,2.72738260e-09,-6.28216349e-09
6.80000000e-01,4.85621056e-06,2.90447448e-06,-6.22535550e-06,4.95026560e-09,2.96072832e-09,-6.34592814e-09
6.85000000e-01,4.78171750e-06,3.02341918e-06,-6.25099359e-06,4.87432977e-09,3.08197673e-09,-6.37206278e-09
6.90000000e-01,4.67105972e-06,3.01625532e-06,-6.26263039e-06,4.76152877e-09,3.07467413e-09,-6.38392496e-09
