time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
2.40000000e-01,-4.40901888e-07,4.84764492e-06,7.56795006e-06,-4.49441272e-10,4.94153406e-09,7.71452605e-09
2.45000000e-01,-4.11830869e-07,4.84785052e-06,7.55527024e-06,-4.19807206e-10,4.94174364e-09,7.70160065e-09
2.50000000e-01,-3.81997491e-07,4.84805873e-06,7.54226435e-06,-3.89396016e-10,4.94195589e-09,7.68834287e-09
2.55000000e-01,-3.51400063e-07,4.84827031e-06,7.52892957e-06,-3.58205977e-10,4.94217157e-09,7.67474982e-09
2.60000000e-01,-3.20037182e-07,4.84848707e-06,7.51526602e-06,-3.26235660e-10,4.94239253e-09,7.66082164e-09
2.65000000e-01,-2.87906791e-07,4.84871080e-06,7.50127762e-06,-2.93482968e-10,4.94262059e-09,7.64656231e-09
2.70000000e-01,-2.55005526e-07,4.84894190e-06,7.48696975e-06,-2.59944471e-10,4.94285617e-09,7.63197732e-09
2.75000000e-01,-2.21328413e-07,4.84917899e-06,7.47234468e-06,-2.25615100e-10,4.94309785e-09,7.61706899e-09
2.80000000e-01,-1.86868862e-07,4.84942026e-06,7.45739769e-06,-1.90488137e-10,4.94334379e-09,7.60183251e-09
2.85000000e-01,-1.51618777e-07,4.84966551e-06,7.44211706e-06,-1.54555329e-10,4.94359380e-09,7.58625592e-09
2.90000000e-01,-1.15568656e-07,4.84991714e-06,7.42648851e-06,-1.17806989e-10,4.94385030e-09,7.57032468e-09
2.95000000e-01,-7.87079622e-08,4.85017859e-06,7.41050163e-06,-8.02323774e-11,4.94411681e-09,7.55402817e-09
3.00000000e-01,-4.10262372e-08,4.85045122e-06,7.39415414e-06,-4.18208330e-11,4.94439472e-09,7.53736406e-09
3.05000000e-01,-2.51498226e-09,4.85073192e-06,7.37745166e-06,-2.56369242e-12,4.94468086e-09,7.52033809e-09
3.10000000e-01,3.68304382e-08,4.85101319e-06,7.36040388e-06,3.75437698e-11,4.94496757e-09,7.50296013e-09
3.15000000e-01,7.70099683e-08,4.85128604e-06,7.34301975e-06,7.85014967e-11,4.94524571e-09,7.48523930e-09
3.20000000e-01,1.18019444e-07,4.85154452e-06,7.32530427e-06,1.20305243e-10,4.94550919e-09,7.46718070e-09
3.25000000e-01,1.59851673e-07,4.85178995e-06,7.30725769e-06,1.62947679e-10,4.94575938e-09,7.44878460e-09
3.30000000e-01,2.02496956e-07,4.85203285e-06,7.28887685e-06,2.06418915e-10,4.94600698e-09,7.43004776e-09
3.35000000e-01,2.45943269e-07,4.85229109e-06,7.27015792e-06,2.50706697e-10,4.94627023e-09,7.41096628e-09
3.40000000e-01,2.90177849e-07,4.85258373e-06,7.25109912e-06,2.95798011e-10,4.94656854e-09,7.39153835e-09
3.45000000e-01,3.35192001e-07,4.85292151e-06,7.23170126e-06,3.41683997e-10,4.94691286e-09,7.37176479e-09
3.50000000e-01,3.80988744e-07,4.85329861e-06,7.21196462e-06,3.88367731e-10,4.94729726e-09,7.35164590e-09
3.55000000e-01,4.27588828e-07,4.85369198e-06,7.19188377e-06,4.35870365e-10,4.94769824e-09,7.33117612e-09
3.60000000e-01,4.75028721e-07,4.85407093e-06,7.17144404e-06,4.84229074e-10,4.94808453e-09,7.31034051e-09
3.65000000e-01,5.23348125e-07,4.85441251e-06,7.15062310e-06,5.33484328e-10,4.94843273e-09,7.28911631e-09
3.70000000e-01,5.72572797e-07,4.85471319e-06,7.12939797e-06,5.83662382e-10,4.94873924e-09,7.26748009e-09
3.75000000e-01,6.22703552e-07,4.85498939e-06,7.10775484e-06,6.34764070e-10,4.94902078e-09,7.24541778e-09
3.80000000e-01,6.73719085e-07,4.85526678e-06,7.08569784e-06,6.86767671e-10,4.94930355e-09,7.22293358e-09
3.85000000e-01,7.25590800e-07,4.85556625e-06,7.06325280e-06,7.39644037e-10,4.94960882e-09,7.20005383e-09
3.90000000e-01,7.78299646e-07,4.85589483e-06,7.04046350e-06,7.93373747e-10,4.94994376e-09,7.17682314e-09
3.95000000e-01,8.31844259e-07,4.85624473e-06,7.01738010e-06,8.47955412e-10,4.95030044e-09,7.15329266e-09
4.00000000e-01,8.86236208e-07,4.85659980e-06,6.99404086e-06,9.03400824e-10,4.95066239e-09,7.12950138e-09
4.05000000e-01,9.41485074e-07,4.85694746e-06,6.97045114e-06,9.59719750e-10,4.95101678e-09,7.10545478e-09
4.10000000e-01,9.97580645e-07,4.85729023e-06,6.94656941e-06,1.01690178e-09,4.95136619e-09,7.08111051e-09
4.15000000e-01,1.05448309e-06,4.85764876e-06,6.92231236e-06,1.07490631e-09,4.95173166e-09,7.05638365e-09
4.20000000e-01,1.11213107e-06,4.85805064e-06,6.89758501e-06,1.13367082e-09,4.95214133e-09,7.03117738e-09
4.25000000e-01,1.17046936e-06,4.85850960e-06,6.87232606e-06,1.19313900e-09,4.95260918e-09,7.00542922e-09
4.30000000e-01,1.22948596e-06,4.85901164e-06,6.84654388e-06,1.25329863e-09,4.95312094e-09,6.97914768e-09
