time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.510000,5.36985227e-07,-5.12915681e-06,6.75357973e-06,5.47385553e-10,-5.22849828e-09,6.88438301e-09
0.520000,5.44840593e-07,-5.12977177e-06,6.74118458e-06,5.55393062e-10,-5.22912515e-09,6.87174779e-09
0.530000,5.52904271e-07,-5.13048870e-06,6.72850277e-06,5.63612917e-10,-5.22985597e-09,6.85882036e-09
0.540000,5.61181424e-07,-5.13133558e-06,6.71533002e-06,5.72050382e-10,-5.23071925e-09,6.84539247e-09
0.550000,5.69718333e-07,-5.13218770e-06,6.70178739e-06,5.80752633e-10,-5.23158787e-09,6.83158756e-09
0.560000,5.78425629e-07,-5.13288772e-06,6.68822032e-06,5.89628572e-10,-5.23230145e-09,6.81775771e-09
0.570000,5.87071536e-07,-5.13354619e-06,6.67445822e-06,5.98441933e-10,-5.23297267e-09,6.80372907e-09
0.580000,5.95600576e-07,-5.13433875e-06,6.66001482e-06,6.07136164e-10,-5.23378058e-09,6.78900594e-09
0.590000,6.04256151e-07,-5.13520006e-06,6.64502651e-06,6.15959379e-10,-5.23465858e-09,6.77372732e-09
0.600000,6.13235621e-07,-5.13601553e-06,6.63003720e-06,6.25112763e-10,-5.23548984e-09,6.75844771e-09
0.610000,6.22474207e-07,-5.13678011e-06,6.61500460e-06,6.34530282e-10,-5.23626922e-09,6.74312395e-09
0.620000,6.31876292e-07,-5.13755475e-06,6.59931356e-06,6.44114467e-10,-5.23705887e-09,6.72712901e-09
0.630000,6.41431222e-07,-5.13847058e-06,6.58269675e-06,6.53854457e-10,-5.23799244e-09,6.71019037e-09
0.640000,6.51098815e-07,-5.13942822e-06,6.56573193e-06,6.63709292e-10,-5.23896862e-09,6.69289698e-09
0.650000,6.60965435e-07,-5.14002663e-06,6.54914209e-06,6.73767008e-10,-5.23957863e-09,6.67598582e-09
0.660000,6.71280300e-07,-5.14036395e-06,6.53265986e-06,6.84281651e-10,-5.23992247e-09,6.65918436e-09
0.670000,6.81939961e-07,-5.14115798e-06,6.51537759e-06,6.95147769e-10,-5.24073189e-09,6.64156737e-09
0.680000,6.92443816e-07,-5.14256715e-06,6.49727632e-06,7.05855062e-10,-5.24216835e-09,6.62311551e-09
0.690000,7.02606592e-07,-5.14394498e-06,6.47913315e-06,7.16214670e-10,-5.24357286e-09,6.60462095e-09
0.700000,7.12703901e-07,-5.14496190e-06,6.46099363e-06,7.26507545e-10,-5.24460949e-09,6.58613010e-09
0.710000,7.22959477e-07,-5.14595780e-06,6.44218121e-06,7.36961750e-10,-5.24562467e-09,6.56695332e-09
