time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
2.00000000e-01,2.72181369e-06,-1.10233761e-06,-1.74247871e-06,2.77452976e-09,-1.12368767e-09,-1.77622702e-09
2.05000000e-01,2.72234481e-06,-1.10251017e-06,-1.74083029e-06,2.77507117e-09,-1.12386358e-09,-1.77454668e-09
2.10000000e-01,2.72288845e-06,-1.10268439e-06,-1.73914141e-06,2.77562534e-09,-1.12404117e-09,-1.77282508e-09
2.15000000e-01,2.72344426e-06,-1.10285838e-06,-1.73740934e-06,2.77619191e-09,-1.12421853e-09,-1.77105947e-09
2.20000000e-01,2.72401428e-06,-1.10302792e-06,-1.73562831e-06,2.77677297e-09,-1.12439136e-09,-1.76924394e-09
2.25000000e-01,2.72460195e-06,-1.10318581e-06,-1.73379107e-06,2.77737202e-09,-1.12455231e-09,-1.76737112e-09
2.30000000e-01,2.72520981e-06,-1.10332297e-06,-1.73189186e-06,2.77799165e-09,-1.12469212e-09,-1.76543513e-09
2.35000000e-01,2.72583736e-06,-1.10343182e-06,-1.72992945e-06,2.77863135e-09,-1.12480308e-09,-1.76343471e-09
2.40000000e-01,2.72648037e-06,-1.10351106e-06,-1.72790854e-06,2.77928682e-09,-1.12488385e-09,-1.76137466e-09
2.45000000e-01,2.72713235e-06,-1.10356910e-06,-1.72583804e-06,2.77995143e-09,-1.12494302e-09,-1.75926406e-09
2.50000000e-01,2.72778775e-06,-1.10362387e-06,-1.72372675e-06,2.78061952e-09,-1.12499885e-09,-1.75711188e-09
2.55000000e-01,2.72844537e-06,-1.10369843e-06,-1.72157849e-06,2.78128988e-09,-1.12507485e-09,-1.75492201e-09
2.60000000e-01,2.72910997e-06,-1.10381482e-06,-1.71938961e-06,2.78196735e-09,-1.12519350e-09,-1.75269073e-09
2.65000000e-01,2.72979056e-06,-1.10398911e-06,-1.71715043e-06,2.78266112e-09,-1.12537116e-09,-1.75040819e-09
2.70000000e-01,2.73049650e-06,-1.10422913e-06,-1.71485006e-06,2.78338073e-09,-1.12561583e-09,-1.74806326e-09
2.75000000e-01,2.73123383e-06,-1.10453391e-06,-1.71248178e-06,2.78413235e-09,-1.12592651e-09,-1.74564912e-09
2.80000000e-01,2.73200417e-06,-1.10489255e-06,-1.71004627e-06,2.78491761e-09,-1.12629210e-09,-1.74316643e-09
2.85000000e-01,2.73280570e-06,-1.10528209e-06,-1.70755119e-06,2.78573466e-09,-1.12668918e-09,-1.74062303e-09
2.90000000e-01,2.73363461e-06,-1.10566603e-06,-1.70500823e-06,2.78657962e-09,-1.12708056e-09,-1.73803081e-09
2.95000000e-01,2.73448566e-06,-1.10599733e-06,-1.70242981e-06,2.78744715e-09,-1.12741828e-09,-1.73540245e-09
3.00000000e-01,2.73535239e-06,-1.10622837e-06,-1.69982721e-06,2.78833067e-09,-1.12765379e-09,-1.73274945e-09
3.05000000e-01,2.73622836e-06,-1.10632679e-06,-1.69720977e-06,2.78922361e-09,-1.12775412e-09,-1.73008132e-09
3.10000000e-01,2.73710910e-06,-1.10629178e-06,-1.69458325e-06,2.79012141e-09,-1.12771843e-09,-1.72740392e-09
3.15000000e-01,2.73799358e-06,-1.10616355e-06,-1.69194573e-06,2.79102302e-09,-1.12758772e-09,-1.72471532e-09
