time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.215000,1.82691079e-06,-3.06556089e-07,-5.97079653e-07,1.86229438e-09,-3.12493464e-10,-6.08643887e-10
0.220000,1.82743295e-06,-3.07092924e-07,-5.97022145e-07,1.86282665e-09,-3.13040698e-10,-6.08585265e-10
0.225000,1.82796789e-06,-3.07643336e-07,-5.96962671e-07,1.86337195e-09,-3.13601770e-10,-6.08524639e-10
0.230000,1.82851563e-06,-3.08207387e-07,-5.96901442e-07,1.86393031e-09,-3.14176745e-10,-6.08462224e-10
0.235000,1.82907607e-06,-3.08784876e-07,-5.96838385e-07,1.86450160e-09,-3.14765419e-10,-6.08397946e-10
0.240000,1.82964906e-06,-3.09375435e-07,-5.96772939e-07,1.86508569e-09,-3.15367416e-10,-6.08331233e-10
0.245000,1.83023461e-06,-3.09978763e-07,-5.96704169e-07,1.86568258e-09,-3.15982429e-10,-6.08261130e-10
0.250000,1.83083290e-06,-3.10594849e-07,-5.96631251e-07,1.86629246e-09,-3.16610448e-10,-6.08186800e-10
0.255000,1.83144420e-06,-3.11224010e-07,-5.96554067e-07,1.86691560e-09,-3.17251795e-10,-6.08108121e-10
0.260000,1.83206859e-06,-3.11866703e-07,-5.96473426e-07,1.86755208e-09,-3.17906935e-10,-6.08025919e-10
0.265000,1.83270579e-06,-3.12523233e-07,-5.96390690e-07,1.86820162e-09,-3.18576181e-10,-6.07941580e-10
0.270000,1.83335523e-06,-3.13193571e-07,-5.96306975e-07,1.86886364e-09,-3.19259501e-10,-6.07856243e-10
0.275000,1.83401640e-06,-3.13877359e-07,-5.96222483e-07,1.86953762e-09,-3.19956534e-10,-6.07770116e-10
0.280000,1.83468917e-06,-3.14574093e-07,-5.96136377e-07,1.87022341e-09,-3.20666761e-10,-6.07682341e-10
0.285000,1.83537385e-06,-3.15283392e-07,-5.96047175e-07,1.87092136e-09,-3.21389798e-10,-6.07591412e-10
0.290000,1.83607100e-06,-3.16005284e-07,-5.95953357e-07,1.87163201e-09,-3.22125672e-10,-6.07495777e-10
0.295000,1.83678106e-06,-3.16740265e-07,-5.95853905e-07,1.87235582e-09,-3.22874888e-10,-6.07394398e-10
0.300000,1.83750417e-06,-3.17489026e-07,-5.95748677e-07,1.87309293e-09,-3.23638151e-10,-6.07287132e-10
0.305000,1.83823999e-06,-3.18251993e-07,-5.95638519e-07,1.87384301e-09,-3.24415895e-10,-6.07174841e-10
0.310000,1.83898791e-06,-3.19029013e-07,-5.95525094e-07,1.87460541e-09,-3.25207964e-10,-6.07059219e-10
0.315000,1.83974736e-06,-3.19819443e-07,-5.95410482e-07,1.87537958e-09,-3.26013703e-10,-6.06942387e-10
0.320000,1.84051830e-06,-3.20622557e-07,-5.95296472e-07,1.87616545e-09,-3.26832372e-10,-6.06826170e-10
0.325000,1.84130142e-06,-3.21437980e-07,-5.95183622e-07,1.87696373e-09,-3.27663589e-10,-6.06711134e-10
0.330000,1.84209781e-06,-3.22265834e-07,-5.95070635e-07,1.87777555e-09,-3.28507476e-10,-6.06595958e-10
0.335000,1.84290826e-06,-3.23106571e-07,-5.94954739e-07,1.87860169e-09,-3.29364497e-10,-6.06477817e-10
0.340000,1.84373249e-06,-3.23960716e-07,-5.94833019e-07,1.87944189e-09,-3.30235185e-10,-6.06353741e-10
0.345000,1.84456922e-06,-3.24828709e-07,-5.94703863e-07,1.88029483e-09,-3.31119988e-10,-6.06222083e-10
0.350000,1.84541679e-06,-3.25710889e-07,-5.94567538e-07,1.88115881e-09,-3.32019255e-10,-6.06083118e-10
0.355000,1.84627416e-06,-3.26607554e-07,-5.94425740e-07,1.88203278e-09,-3.32933286e-10,-6.05938573e-10
0.360000,1.84714148e-06,-3.27518955e-07,-5.94280741e-07,1.88291690e-09,-3.33862340e-10,-6.05790766e-10
0.365000,1.84802011e-06,-3.28445233e-07,-5.94134680e-07,1.88381254e-09,-3.34806557e-10,-6.05641876e-10
0.370000,1.84891212e-06,-3.29386358e-07,-5.93988943e-07,1.88472183e-09,-3.35765910e-10,-6.05493316e-10
0.375000,1.84981940e-06,-3.30342103e-07,-5.93843586e-07,1.88564669e-09,-3.36740166e-10,-6.05345143e-10
0.380000,1.85074261e-06,-3.31311997e-07,-5.93697044e-07,1.88658778e-09,-3.37728845e-10,-6.05195764e-10
0.385000,1.85168074e-06,-3.32295391e-07,-5.93546393e-07,1.88754408e-09,-3.38731285e-10,-6.05042195e-10
0.390000,1.85263148e-06,-3.33291556e-07,-5.93388248e-07,1.88851323e-09,-3.39746744e-10,-6.04880986e-10
0.395000,1.85359194e-06,-3.34299597e-07,-5.93220303e-07,1.88949230e-09,-3.40774309e-10,-6.04709789e-10
0.400000,1.85455939e-06,-3.35318178e-07,-5.93043131e-07,1.89047849e-09,-3.41812617e-10,-6.04529185e-10
0.405000,1.85553195e-06,-3.36345459e-07,-5.92861210e-07,1.89146988e-09,-3.42859795e-10,-6.04343741e-10
0.410000,1.85650936e-06,-3.37379639e-07,-5.92681742e-07,1.89246622e-09,-3.43914005e-10,-6.04160797e-10
0.415000,1.85749359e-06,-3.38419975e-07,-5.92510843e-07,1.89346951e-09,-3.44974490e-10,-6.03986588e-10
0.420000,1.85848861e-06,-3.39467612e-07,-5.92349066e-07,1.89448381e-09,-3.46042418e-10,-6.03821678e-10
0.425000,1.85949897e-06,-3.40525401e-07,-5.92189596e-07,1.89551373e-09,-3.47120694e-10,-6.03659120e-10
0.430000,1.86052771e-06,-3.41596736e-07,-5.92020879e-07,1.89656240e-09,-3.48212779e-10,-6.03487135e-10
0.435000,1.86157540e-06,-3.42684372e-07,-5.91832524e-07,1.89763037e-09,-3.49321480e-10,-6.03295132e-10
0.440000,1.86264131e-06,-3.43789978e-07,-5.91621193e-07,1.89871693e-09,-3.50448499e-10,-6.03079708e-10
0.445000,1.86372569e-06,-3.44914269e-07,-5.91392578e-07,1.89982231e-09,-3.51594566e-10,-6.02846665e-10
0.450000,1.86483069e-06,-3.46057294e-07,-5.91157565e-07,1.90094872e-09,-3.52759728e-10,-6.02607100e-10
0.455000,1.86595834e-06,-3.47218848e-07,-5.90925196e-07,1.90209820e-09,-3.53943780e-10,-6.02370230e-10
0.460000,1.86710636e-06,-3.48399148e-07,-5.90697837e-07,1.90326846e-09,-3.55146940e-10,-6.02138468e-10
0.465000,1.86826493e-06,-3.49599308e-07,-5.90471752e-07,1.90444947e-09,-3.56370345e-10,-6.01908004e-10
0.470000,1.86941800e-06,-3.50820778e-07,-5.90241667e-07,1.90562487e-09,-3.57615472e-10,-6.01673463e-10
