SERVICIO GEOLOGICO COLOMBIANO- RED NACIONAL DE ACELEROGRAFOS DE COLOMBIA
San Jose del Palmar - Choco, Colombia  2026-08-10 12:34:27  M=7.4
LATITUD DEL EVENTO(GRADOS): 4.99
LONGITUD DEL EVENTO(GRADOS): -76.29
PROFUNDIDAD DEL EVENTO (Km): 103.0
CODIGO DE LA ESTACION: CBOCA
ESTACION:CBOCA 
LATITUD DE LA ESTACION (GRADOS): 4.7817
LONGITUD DE LA ESTACION (GRADOS): -75.6455
DISTANCIA EPICENTRAL: 75.0 km
DISTANCIA HIPOCENTRAL: 128.0 km
INTERVALO DE MUESTREO (SEGUNDOS):0.005
NUMERO DE DATOS: 102001
DURACION (SEGUNDOS): 510.0
UNIDADES: cm/s^2
TIPO DE EQUIPO: --
ESCALA MAXIMA (G): 2
CORRECCION DE LINEA BASE: LINEA BASE REMOVIDA
TIPO DE DATOS: NO CORREGIDO
         EW                  VER                  NS
    -0.0006193914476267075           0.0009582957767802527         -2.8004912999905402e-05 
    0.0006047136590327052           -0.000943953414066849         2.6175517746720814e-05 
    -0.0005832894737499433           0.0009247218180689945         -2.4818678888540936e-05 
    0.0005656234018088062           -0.0009140983139398521         1.804341942428601e-05 
    -0.0005371948482535101           0.0008919594836565765         -1.0003479433473687e-05 
    0.0005109861284578547           -0.0008848629487450961         -2.0487467601094716e-06 
    -0.0004767603115436224           0.0008608366550887086         1.3063404259175977e-05 
    0.0004504164406966343           -0.0008665876835906025         -2.6419156995402483e-05 
    -0.000400161746031366           0.0008377289487184801         4.972943641034748e-05 
    0.00036833260626280734           -0.0008371379365051116         -7.256499651667547e-05 
    -0.0003301667753614478           0.0008283213049424041         8.067252052564552e-05 
    0.0002899216023350162           -0.0008412009472490592         -0.00011094326043500627 
    -0.00024613169103423484           0.0008119125411671087         0.00012719356996708018 
    0.00020058624871454827           -0.0008546152748615923         -0.0001555456679767038 
    -0.00016317021304021464           0.0008240671339306723         0.00016293467418985707 
